fetch_order,source_key,title,drive_id,drive_url,source_kind,authority_role,observed_revision_id,fetched_at,status,package_use
1,MASTER-INDEX,START HERE — Documentation Control & Master Index,1gC6BdFZ2LfjrpjM-qPKcX1qWMTUBSAXo3b-AlaOYqus,https://docs.google.com/document/d/1gC6BdFZ2LfjrpjM-qPKcX1qWMTUBSAXo3b-AlaOYqus/edit,google_doc,control order and precedence,ANLCKQk4jNDs5yiXKLE8vuHX2wwRPf_sVNvkhv0DF5ssZYzNO9X18WjQ5ugLr6hHlMQ6NDVSkbhXLOnE0v7YT4TEUToOEMI2sQN4I_dt3b0,2026-09-03,read_exact_id,authority hierarchy and stable identifiers
2,BRD,BRD — Business Requirements & Decision Register,1HEp7QN4u3c_636uACznnkruYHhGYHAJWXH7Dlfjybpk,https://docs.google.com/document/d/1HEp7QN4u3c_636uACznnkruYHhGYHAJWXH7Dlfjybpk/edit,google_doc,approved business intent and protected semantics,ANLCKQn_IsWT2AGRGJ_6nJ7JjgYnjK7kKbWbzaSFtFZRCIJTl7L9u5UXKbAnYIVc0odksjOn_Q6uqVob_CavLasPmiQd1ugSauFTZF4UyaU,2026-09-03,read_exact_id,learner outcomes and exclusions
3,AC-IMP-00,AC-IMP-00 — Implementation GO Baseline & Foundation Sequence v1.0,10tKbAIJWONFNTzK2-NHffy4h1wKgoQP7VdJH_K2eR-A,https://docs.google.com/document/d/10tKbAIJWONFNTzK2-NHffy4h1wKgoQP7VdJH_K2eR-A/edit,google_doc,foundation sequence and capability gates,AIroW36JDi-m7mvFBLe6DqhIU5Cz28l2R5xcJLVt6Umy4JSQ_Iyx7Yu95uNEjtL98a9IWR5iG8BP3_76oyxoLQWNWky0MNbcMhkX9HbTzls,2026-09-03,read_exact_id,first-slice boundaries and no-go gates
4,AC-IMP-01,AC-IMP-01 — Codex Engineering Handoff & Controlled Source Manifest v1.0,1JVnCjDdE79YseM-1PuhvW00xcoicwmhoHtUvEuKKrdU,https://docs.google.com/document/d/1JVnCjDdE79YseM-1PuhvW00xcoicwmhoHtUvEuKKrdU/edit,google_doc,agent source order and forbidden actions,AIroW365HdG6nHFsZv0OiLkhYkWfQY5ftMkILwHatp4ZcwSxXLsjLPRVgcqs9bf6Ex2gAJipyK-auA4dKDwSaFUVL3YovnDH234dzzDn1XE1,2026-09-03,read_exact_id,controlled ingestion and evidence rules
5,AC-IMP-03,AC-IMP-03 — Audit Findings Closure & Engineering Guardrail Register v1.0,1ncsRMiMMiQ39tCn7dV3vpqwUnirY06BgSuVdm_BuIFo,https://docs.google.com/document/d/1ncsRMiMMiQ39tCn7dV3vpqwUnirY06BgSuVdm_BuIFo/edit,google_doc,normalized capability guardrails,AIroW34TGRnbj0pFfkBRj9LnZmxxGYKOMcwEd0DyD6I-DjzrlI5Uqw_Wc___7l9kseYLXMj-kf6SBFCyTyXlg_hHftVn9ChrzgCZJVUGIHs,2026-09-03,read_exact_id,UX recovery and scoring/provider gates
6,AC-IMP-04,AC-IMP-04 — Free Course Foundation Slice Specification v1.0,1gQnsY1JjphpmOmfyCRZkfI-p0TWZjF1PkY1xF744Gnc,https://docs.google.com/document/d/1gQnsY1JjphpmOmfyCRZkfI-p0TWZjF1PkY1xF744Gnc/edit,google_doc,first learner slice and activity kernel,AIroW34egX9SRQDq9oqhBn81WI33BB8gSnKJiloFCXVXgI3r6kXKe2CMuWdSNg2ow8aIY2ZOd-mHVCSllPb1UX_f2ng2CXqDJkC9fW9EH-s,2026-09-03,read_exact_id,learning loop and state expectations
7,AC-IMP-05,"AC-IMP-05 — G0-G1 Acceptance, Work Queue & Evidence Plan v1.0",1Vvf1wCA_JjrJQwhkTsgyDM_9179G4M899pWWc3-UdXw,https://docs.google.com/document/d/1Vvf1wCA_JjrJQwhkTsgyDM_9179G4M899pWWc3-UdXw/edit,google_doc,G0/G1 acceptance and evidence,ANLCKQlArDlduzdR4z0tccWfFgLCIKd25sZzxVJTzgIjPnfK-RxU29J4vyrANP-u8MGwHw6sLyThiVJKtaNhm1w1ySTnaP5fDM6X5ODnA3U,2026-09-03,read_exact_id,route/state freeze and release evidence
8,PRD,PRD — Unified Learning & Sales Practice Platform,1vZGxiP5GRA7He0gA7oF6hmTeHqoEZUIJko_QBUtDW_k,https://docs.google.com/document/d/1vZGxiP5GRA7He0gA7oF6hmTeHqoEZUIJko_QBUtDW_k/edit,google_doc,product behavior outcomes and scope,ANLCKQlKHobxpRvsLvAXmWRqO3bqZGULgMtKbx_PjNmXbGsUzwlGd7AYRqxWGaAmpCwO89tAiueICs2tKJUTSSewDVK1IGim4vJ8Pz3pcEE,2026-09-03,read_exact_id,activity kernel and learner jobs
9,IA,"Information Architecture — Domains, URLs, Navigation & Content Model",1VLJTswU2sqlimfoSIROVvlJ9Z6ue-6Dd45oEcu1ddhs,https://docs.google.com/document/d/1VLJTswU2sqlimfoSIROVvlJ9Z6ue-6Dd45oEcu1ddhs/edit,google_doc,routes navigation and hostname boundaries,ANLCKQmVR271_xd3EVQ_cg1nK-wENYLPPKHpTG7J4WFJmBOUmLF8xv-xbk1MXLZEDil2OIRrgDnPAX4UDVbQPIePdm66YAr6aBaHo1o5WLY,2026-09-03,read_exact_id,route candidates and shell navigation
10,UX-RESEARCH,"UX Research, Personas, Journeys & Service Blueprint",1M_IlSgZwWfHVk1IU3JBzY-EhT3RIfXO07WII8MbwxPM,https://docs.google.com/document/d/1M_IlSgZwWfHVk1IU3JBzY-EhT3RIfXO07WII8MbwxPM/edit,google_doc,human-centered evidence and hypotheses,ANLCKQlf2GkcLzzHU_Tap_cw8vSsnaomUdIDizSDffM1aHIMDGfHCWc1qBSSF482GqSswEPtciV-CFkxMqKRlnjif-eu_LVVHeWJHidtU8U,2026-09-03,read_exact_id,recovery and next-action hypotheses
