flow_id,screen_id,route,actor,state,trigger,visible_structure,primary_action,secondary_action,system_response,preserved_input,error_or_status,recovery,analytics_event,accessibility_requirement,source_of_truth,qa_status
FLOW-AUTH-ONB-01,AUTH-01,/login,anonymous,ready,open sign-in,"email/provider actions; password field; help; submit",Sign in,Register or recover,"validate locally then call identity API",email field only,none,focus first invalid field and retry,auth_screen_viewed,"label every field; error linked; keyboard and password manager support",identity and session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-01,/login,anonymous,loading,submit valid form,"same shell; submit busy; inline progress",Wait,Cancel safe navigation,"submit once and retain route intent",email and safe password entry,authentication_processing,return to ready or retry without duplicate session,auth_login_started,"busy state announced; focus not moved unexpectedly",identity and session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-01,/login,anonymous,validation_error,missing or malformed input,"field error text; corrected fields remain",Correct field,Recover account,"do not call identity API until valid",all safe fields,invalid_credentials_shape,focus and announce associated error,auth_validation_failed,"programmatic association; no color-only error",identity API,spec_ready
FLOW-AUTH-ONB-01,AUTH-01,/login,anonymous,retryable_error,transient identity/provider/network failure,"domain error panel; retry; help",Retry sign in,Use recovery,"retry same safe intent; no account existence detail",safe fields,identity_unavailable,retry with bounded backoff or support,auth_login_retry,"status live region; retry target is keyboard reachable",identity/provider adapter,spec_ready
FLOW-AUTH-ONB-01,AUTH-01,/login,anonymous,terminal_error,credentials rejected or policy denial,"neutral failure; recovery links",Use recovery,Register,"end attempt without revealing account facts",email only,sign_in_not_completed,recovery or support path,auth_login_failed,"announce result and keep focus in error region",identity API,spec_ready
FLOW-AUTH-ONB-01,AUTH-02,/register,anonymous,ready,open registration,"bounded fields; exact Terms/Privacy and operational-email consent; submit",Create account,Back to sign in,"validate consent version and form before request",safe fields,none,correct and resubmit,register_screen_viewed,"explicit consent labels; links; no prechecked marketing consent",identity plus consent API,spec_ready
FLOW-AUTH-ONB-01,AUTH-02,/register,anonymous,validation_error,missing consent or invalid field,"field errors and consent explanation",Correct and accept,Back,"do not create account or imply access",all safe input,consent_or_field_invalid,focus first invalid field and preserve safe input,register_validation_failed,"consent control name and error association",identity plus consent API,spec_ready
FLOW-AUTH-ONB-01,AUTH-02,/register,anonymous,processing,submit valid registration,"busy submit; durable acknowledgement area",Wait,Cancel safe navigation,"create or reuse account transaction under exact consent",safe fields,registration_processing,retry same idempotent intent,register_started,"announce progress; prevent duplicate activation",identity plus consent API,spec_ready
FLOW-AUTH-ONB-01,AUTH-02,/register,anonymous,retryable_error,network or dependency failure,"failure with preserved form and retry",Retry registration,Copy safe help,"no account or access claim",all safe fields,registration_failed,reconnect and retry same intent,register_retry,"error announced and linked to action",identity API,spec_ready
FLOW-AUTH-ONB-01,AUTH-02,/register,anonymous,success,neutral acknowledgement returned,"check-email guidance; sign-in link; no existence detail",Check email,Return to sign in,"send/queue verification according to controlled contract",none,verification_pending,resend through approved path,register_acknowledged,"heading and next step announced",identity and email outbox,spec_ready
FLOW-AUTH-ONB-01,AUTH-03,/verify-email,anonymous,processing,open challenge link,"token-processing status; no protected payload",Wait,Back to sign in,"consume one challenge under server rules",none,verification_processing,retry only through safe resend,verification_started,"status announced without focus theft",challenge/session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-03,/verify-email,anonymous,success,valid challenge consumed,"verified confirmation; continue action",Continue,Sign in,"issue session if contract permits and navigate safely",none,email_verified,continue or sign in,verification_completed,"success text and focus heading",identity/session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-03,/verify-email,anonymous,retryable_error,resend request fails,"resend error; original guidance remains",Retry resend,Back,"supersede only through approved command",none,resend_failed,retry boundedly,verification_resend_failed,"error live region",email outbox,spec_ready
FLOW-AUTH-ONB-01,AUTH-03,/verify-email,anonymous,terminal_error,missing or expired challenge,"neutral invalid/expired message; recovery links",Request new link,Sign in,"do not reveal whether account exists",none,challenge_invalid_or_expired,use neutral recovery path,verification_terminal,"no sensitive token details exposed",identity challenge API,spec_ready
FLOW-AUTH-ONB-01,AUTH-04,/forgot-password,anonymous,ready,open recovery,"email input; neutral explanation; submit",Send recovery,Back to sign in,"accept safe input and submit neutral intent",email field,none,correct field or leave,forgot_password_viewed,"label and error association",identity recovery API,spec_ready
FLOW-AUTH-ONB-01,AUTH-04,/forgot-password,anonymous,validation_error,invalid email shape,"field error; input retained",Correct email,Back,"no request until valid",email field,email_invalid,focus field and retry,forgot_password_validation_failed,"announce inline error",identity recovery API,spec_ready
FLOW-AUTH-ONB-01,AUTH-04,/forgot-password,anonymous,retryable_error,network failure,"retry panel preserving email",Retry request,Back,"retry neutral intent without enumeration",email field,recovery_unavailable,reconnect/retry or support,forgot_password_retry,"retry reachable by keyboard",identity recovery API,spec_ready
FLOW-AUTH-ONB-01,AUTH-04,/forgot-password,anonymous,success,request accepted,"existence-neutral check-email acknowledgement",Check email,Return sign in,"queue recovery only if eligible; same response otherwise",none,recovery_acknowledged,wait or retry later,forgot_password_acknowledged,"heading and next step announced",identity and email outbox,spec_ready
FLOW-AUTH-ONB-01,AUTH-05,/reset-password,anonymous,ready,valid reset link opened,"new password; confirmation; requirements; submit",Set password,Back to sign in,"validate locally before reset command",password fields,password_not_submitted,correct and retry,reset_password_viewed,"autocomplete; strength guidance not color-only",identity/session API,spec_ready
FLOW-AUTH-ONB-01,AUTH-05,/reset-password,anonymous,validation_error,password mismatch or weak form,"field errors and requirement list",Correct password,Back,"do not consume token until valid",safe form fields,password_validation_failed,focus first error and preserve safe input,reset_password_validation_failed,"error association and readable requirements",identity API,spec_ready
