flow_id,screen_id,route,actor,state,trigger,visible_structure,primary_action,secondary_action,system_response,preserved_input,error_or_status,recovery,analytics_event,accessibility_requirement,source_of_truth,qa_status,platform_scope,capability_gate,data_boundary
FLOW-LL-01,LL-MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,ready,module projection authorized,"module title; ordered roadmap; current activity; safe lock reasons",Open current activity,Back to course,resolve only the next authorized activity,none,Module path ready,return to course or home,not_assigned,"ordered list semantics; current and locked states use text and icon; 44px target intent",canonical learning projection,spec_ready,desktop_chrome|pwa,module authorization,read_only
FLOW-LL-01,LL-MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,loading,module projection requested,"shell and roadmap-shaped skeleton; no blank canvas",none,Back to course,load version-pinned modules and activity reasons,none,Preparing module,bounded region-aware retry,not_assigned,"status announced once without focus theft; skeleton follows final reading order",canonical learning projection,spec_ready,desktop_chrome|pwa,module authorization,read_only
FLOW-LL-01,LL-MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,empty,authorized module has no activities,"module title; honest empty state; no placeholder lesson",Try again,Back to course,show no authorized activities without substituting a fixture,none,No activities available,bounded retry or support path,not_assigned,"empty heading and action are programmatically associated",canonical learning projection,spec_ready,desktop_chrome|pwa,module authorization,read_only
FLOW-LL-01,LL-MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,partial,some module regions unavailable,"known roadmap rows; unavailable region status; safe content only",Retry unavailable section,Continue with available activity,retain known canonical rows and mark missing data,none,Some module details are unavailable,retry only the affected region,not_assigned,"partial status is text and non-color; unavailable rows are not zero",canonical learning projection,spec_ready,desktop_chrome|pwa,module authorization,read_only
FLOW-LL-01,LL-MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,locked,direct route or prerequisite unmet,"safe activity title; lock reason; prerequisite action",Open required activity,Back to course,deny protected payload and name exact prerequisite,none,Complete the required earlier activity first,go to canonical prerequisite,not_assigned,"lock reason is associated with action and focusable",server authorization and prerequisite projection,spec_ready,desktop_chrome|pwa,activity authorization,no_protected_payload
FLOW-LL-01,LL-MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,retryable_error,projection request fails transiently,"module context retained; bounded recovery panel",Try again,Back to course,keep safe context and retry the failed read,none,Module details temporarily unavailable,bounded retry then support path,not_assigned,"alert heading and retry are keyboard reachable",learning projection API,spec_ready,desktop_chrome|pwa,network,read_only
FLOW-LL-01,LL-MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,offline_or_stale,network unavailable,"cached allowlisted roadmap; freshness label; mutations blocked",Reconnect,Keep reading,render stale read-only projection when policy allows,none,Offline — module may be out of date,reconnect then re-read authorization,not_assigned,"stale status is text and announced; no false zero",approved cache policy,spec_ready,desktop_chrome|pwa,offline cache,read_only
FLOW-LL-01,LL-MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,unauthorized_or_expired,session invalid,"session boundary; protected module data cleared",Sign in again,Back,clear protected payload and retain approved return path,intended return route,Session expired,reauthenticate and re-read module,not_assigned,"focus moves to recovery heading; no protected existence disclosure",identity/session API,spec_ready,desktop_chrome|pwa,session,local_recovery_only
FLOW-LL-01,LL-MOD-01,/learn/{programSlug}/module/{moduleId},enrolled learner,success,activity opened explicitly,"current activity context; roadmap remains available",Continue in activity,Back to roadmap,open only the authorized activity route,none,Activity opened,return to exact module,not_assigned,"heading and route context remain perceivable",canonical learning projection,spec_ready,desktop_chrome|pwa,module authorization,read_only
FLOW-LL-02,LL-VID-01,/activity/{activityId},enrolled learner,loading,activity and playback policy requested,"player frame; outline; below-media skeleton",none,Back to module,load activity authorization media policy and resume metadata,none,Preparing video,bounded retry without collapsing layout,not_assigned,"skeleton follows player-to-task order; status not focus stealing",activity and media policy projection,spec_ready,desktop_chrome|pwa,media authorization,read_only
