flow_id,screen_id,route,actor,state,trigger,visible_structure,primary_action,secondary_action,system_response,preserved_input,error_or_status,recovery,analytics_event,accessibility_requirement,source_of_truth,qa_status

FLOW-IAS-01,ADM-OVERVIEW,/admin,"Platform Owner|Business Administrator|Technical Administrator",loading,route_enter,page_header|named_skeleton,wait,retry,fetch authorized overview,none,loading,wait_or_retry,admin_overview_view,focus_to_page_heading|status_announced,admin_read_model,planned
FLOW-IAS-01,ADM-OVERVIEW,/admin,"Platform Owner|Business Administrator|Technical Administrator",ready,overview_fetch_succeeds,page_header|capability_links|freshness,open_authorized_module,retry_read,render_returned_links_only,none,ready,open_module_or_escalate,admin_overview_ready,keyboard_nav|non_color_status,admin_read_model,planned
FLOW-IAS-01,ADM-OVERVIEW,/admin,"Platform Owner|Business Administrator|Technical Administrator",permission_denied,server_denies_admin_shell,denial_panel|support_reference,request_access,return_to_safe_surface,no_leaking_response,none,denied,contact_owner,admin_overview_denied,focus_denial_heading|no_resource_enumeration,authz_decision,planned
FLOW-IAS-02,ADM-USERS,/admin/users,"Business Administrator|Support Agent|Auditor",loading,route_enter,search|filter_summary|table_skeleton,wait,retry,preserve_query_context,search_and_filters,loading,wait_or_retry,admin_people_view,focus_search|named_status,person_read_model,planned
FLOW-IAS-02,ADM-USERS,/admin/users,"Business Administrator|Support Agent|Auditor",ready,people_fetch_succeeds,search|filters|table_or_stacks|pagination,open_person,clear_filter,render_authorized_person_records,query_and_filters,ready,back_preserves_query,admin_people_ready,table_headers|row_labels|touch_target,person_read_model,planned
FLOW-IAS-02,ADM-USERS,/admin/users,"Business Administrator|Support Agent|Auditor",empty,valid_query_no_records,empty_state|query_summary,change_filter,clear_filter,return_empty_without_count_invention,query_and_filters,empty,change_query_or_escalate,admin_people_empty,empty_state_heading|focus_action,person_read_model,planned
FLOW-IAS-02,ADM-USERS,/admin/users,"Business Administrator|Support Agent|Auditor",offline_or_stale,network_or_stale_read_model,offline_banner|last_known_context|retry,retry_read,return_to_safe_surface,query_and_filters,stale_or_offline,retry_without_sync_claim,admin_people_stale,announced_banner|no_color_only,read_model_freshness,person_read_model,planned
FLOW-IAS-03,ADM-USER-DETAIL,/admin/users/{person},"Business Administrator|Support Agent|Auditor",ready,person_fetch_succeeds,identity_context|enrollment|progress|evidence|history,inspect_canonical_state,open_support_or_audit_reference,render_versioned_canonical_context,none,ready,escalate_if_inconsistent,admin_person_detail_ready,heading_hierarchy|timeline_labels|masked_data,person_enrollment_progress_evidence,planned
FLOW-IAS-03,ADM-USER-DETAIL,/admin/users/{person},"Business Administrator|Support Agent|Auditor",permission_denied,server_denies_person_context,denial_panel|safe_return,request_access,return_to_people,do_not_reveal_person_existence,none,denied,contact_owner,admin_person_denied,focus_denial_heading|non_leaking_copy,authz_decision,planned
FLOW-IAS-03,ADM-USER-DETAIL,/admin/users/{person},"Business Administrator|Support Agent|Auditor",reconciliation_required,canonical_and_side_effect_disagree,hold_banner|canonical_state|recovery_owner|trace,open_recovery_reference,escalate,hold_external_effects_and_record_reference,none,reconciliation_required,reconcile_via_job_or_support,admin_reconciliation_seen,live_region|reason_not_color_only,canonical_domain_plus_outbox_audit,planned
FLOW-IAS-03,ADM-USER-DETAIL,/admin/users/{person},"Business Administrator|Support Agent|Auditor",support_required,operator_boundary_reached,support_reference|handoff_context,open_support_case,copy_reference,create_or_link_case_if_authorized,case_reference,support_required,layered_escalation,admin_support_handoff,keyboard_reachable_reference|no_sensitive_leak,support_case_audit,planned
FLOW-IAS-02,INS-PROGRAMS,/admin/programs,"Content Manager|Business Administrator",ready,catalog_fetch_succeeds,search|filters|program_records|version_badges,open_program,create_draft_if_authorized,render_source_backed_programs,query_and_filters,ready,open_content_or_escalate,instructor_catalog_ready,table_reflow|status_text,program_read_model,planned
FLOW-IAS-02,INS-PROGRAMS,/admin/programs,"Content Manager|Business Administrator",draft,create_draft_authorized,draft_badge|version_identity|program_form,save_draft,validate_dependencies,create_or_update_draft_only,draft_fields,draft,restore_draft_and_retry,program_draft_saved,labels_for_required_fields|focus_preserved,ProgramVersion,planned
FLOW-IAS-02,INS-CONTENT,/admin/programs/{program}/content,"Content Manager|Coach / Reviewer",loading,route_enter,tree_skeleton|editor_skeleton|version_context,wait,retry,fetch_program_content,unsaved_fields,loading,wait_or_retry,instructor_content_view,focus_page_heading|status_announced,program_module_activity_versions,planned
FLOW-IAS-02,INS-CONTENT,/admin/programs/{program}/content,"Content Manager|Coach / Reviewer",draft,edit_draft,content_tree|editor|validation_panel|version_panel,save_draft,validate_dependencies,save_versioned_draft,draft_fields,draft,surface_saved_or_unsaved_status,instructor_draft_edit,labels_and_errors|keyboard_editor|touch_targets,ProgramVersion|ModuleVersion|ActivityVersion,planned
FLOW-IAS-02,INS-CONTENT,/admin/programs/{program}/content,"Content Manager|Coach / Reviewer",validation_error,dependency_validation_fails,summary_errors|field_errors|dependency_list,fix_dependency,return_to_editor,preserve_draft_and_block_publish,draft_fields,validation_error,fix_or_escalate,instructor_validation_error,focus_first_error|error_summary|no_color_only,content_validation_contract,planned
FLOW-IAS-02,INS-CONTENT,/admin/programs/{program}/content,"Content Manager|Coach / Reviewer",version_conflict,stale_version_submit,conflict_panel|current_version|draft_version,create_superseding_draft,discard_only_with_confirmation,do_not_overwrite_published_history,draft_fields,version_conflict,reload_compare_and_retry,instructor_version_conflict,announce_conflict|preserve_focus,ProgramVersion|AuditEvent,planned
FLOW-IAS-02,INS-CONTENT,/admin/programs/{program}/content,"Content Manager|Coach / Reviewer",assessment_authoring_blocked,assessment_contract_missing,blocked_panel|missing_contract_links|draft_context,keep_reference_draft,open_decision_reference,do_not_invent_schema_or_score_fields,draft_fields,assessment_authoring_blocked,resolve_BLK_07,instructor_assessment_blocked,heading_and_reason_announced|keyboard_link,assessment_contract_gate,blocked
FLOW-IAS-02,INS-CONTENT,/admin/programs/{program}/content,"Content Manager|Coach / Reviewer",provider_failed,media_dependency_provider_error,provider_neutral_error|draft_context|retry,retry_idempotently,replace_dependency_if_allowed,preserve_draft_and_no_publish,draft_fields,provider_failed,retry_or_escalate,instructor_media_provider_failed,live_status|no_provider_secret,MediaAsset|provider_adapter,blocked
FLOW-IAS-05,INS-CONTENT,/admin/programs/{program}/content,"Content Manager|Technical Administrator",processing,media_upload_accepted,upload_status|draft_context|processing_indicator,wait_for_processing,reload_status,keep_dependency_unready_and_do_not_publish,draft_fields,processing,poll_or_escalate,instructor_media_processing,live_status|named_progress|reduced_motion,MediaAsset|provider_adapter,blocked
FLOW-IAS-05,INS-CONTENT,/admin/programs/{program}/content,"Content Manager|Technical Administrator",uploaded,platform_accepts_upload,uploaded_status|draft_context|dependency_marker,inspect_media_status,return_to_editor,show_accepted_not_ready_state,draft_fields,uploaded,wait_for_processing,instructor_media_uploaded,live_status|text_status,MediaAsset,blocked
FLOW-IAS-05,INS-CONTENT,/admin/programs/{program}/content,"Content Manager|Technical Administrator",upload_failed,provider_or_validation_rejects,upload_error|draft_context|retry,retry_idempotently,return_to_editor,preserve_draft_and_keep_publish_blocked,draft_fields,upload_failed,retry_or_escalate,instructor_media_upload_failed,focus_error|error_summary|no_color_only,MediaAsset|provider_adapter,blocked
FLOW-IAS-02,INS-PUBLISH,/admin/programs/{program}/content,"Content Manager|Business Administrator",in_review,review_action_accepted,stepper|version|validation_summary|review_status,inspect_review_status,return_to_draft,transition_to_in_review_if_server_confirmed,draft_fields,in_review,follow_approved_review_path,instructor_review_started,stepper_labels|focus_step,ProgramVersion|AuditEvent,planned
FLOW-IAS-02,INS-PUBLISH,/admin/programs/{program}/content,"Content Manager|Business Administrator",success,publish_action_confirmed,result_panel|version_identity|audit_reference,open_published_version,return_to_content,show_server_confirmed_result_and_reference,draft_fields,success,inspect_history_or_continue,instructor_publish_success,announce_result|focus_result,ProgramVersion|AuditEvent,planned
FLOW-IAS-02,INS-PUBLISH,/admin/programs/{program}/content,"Content Manager|Business Administrator",reconciliation_required,publish_side_effect_uncertain,hold_banner|version|trace|recovery_owner,open_reconciliation_reference,retry_only_if_contract_allows,hold_external_effects_and_do_not_claim_publish,draft_fields,reconciliation_required,reconcile_before_retry,instructor_publish_reconcile,live_region|text_status,ProgramVersion|outbox|AuditEvent,planned
FLOW-IAS-04,ADM-ASSESS-REVIEW,BLOCKED_ROUTE:assessment-review,"Content Manager|Coach / Reviewer",blocked,route_not_registered,blocked_panel|AC-SVAL_gate|BLK_07_link,stop,return_to_content,no_review_route_or_score_authority_created,none,blocked,resolve_assessment_contract,instructor_assessment_route_blocked,focus_blocked_heading|no_fake_controls,assessment_route_contract,blocked
FLOW-IAS-05,ADM-MEDIA,BLOCKED_ROUTE:media,"Content Manager|Technical Administrator",blocked,provider_contract_missing,blocked_panel|lifecycle_summary|BLK_08_link,stop,return_to_content,no_provider_route_or_limit_claimed,none,blocked,resolve_provider_gate,instructor_media_route_blocked,focus_blocked_heading|status_text,provider_adapter_contract,blocked
FLOW-IAS-06,ADM-PROGRESS,/admin/progress,"Business Administrator|Support Agent|Technical Administrator",blocked,route_candidate_unresolved,blocked_panel|route_addendum_link,stop,return_to_person,no_unregistered_diagnostics_action,none,blocked,resolve_BLK_09,admin_progress_route_blocked,focus_blocked_heading|non_color_status,Admin_route_contract,blocked
FLOW-IAS-06,ADM-AUDIT,/admin/audit,"Auditor|Technical Administrator|Platform Owner",blocked,route_candidate_unresolved,blocked_panel|masking_gate|BLK_09_link,stop,return_to_source,no_unregistered_audit_or_export_action,none,blocked,resolve_BLK_09_and_BLK_12,admin_audit_route_blocked,focus_blocked_heading|masked_context,AuditEvent_route_contract,blocked
