screen_id,screen_name,host,route,route_status,primary_actor,canonical_roles,flow_ids,source_of_truth,visual_status,blocked_refs

ADM-OVERVIEW,Admin overview,admin.authorityclosers.com,/admin,registered,Platform Owner; Business Administrator; Technical Administrator,"Platform Owner|Business Administrator|Technical Administrator",FLOW-IAS-01,Admin read model with canonical operational links,reference-ready,BLK-04
ADM-USERS,People list,admin.authorityclosers.com,/admin/users,registered,Business Administrator; Support Agent; Auditor,"Business Administrator|Support Agent|Auditor",FLOW-IAS-02|FLOW-IAS-03,Person and enrollment domains,reference-ready,BLK-04
ADM-USER-DETAIL,Person detail,admin.authorityclosers.com,/admin/users/{person},registered,Business Administrator; Support Agent; Auditor,"Business Administrator|Support Agent|Auditor",FLOW-IAS-03|FLOW-IAS-06,Person enrollment progress evidence and audit domains,reference-ready,BLK-04|BLK-12
INS-PROGRAMS,Program catalog,admin.authorityclosers.com,/admin/programs,registered,Content Manager; Business Administrator,"Content Manager|Business Administrator",FLOW-IAS-02|FLOW-IAS-04,Program and ProgramVersion,reference-ready,BLK-01|BLK-04
INS-CONTENT,Program content editor,admin.authorityclosers.com,/admin/programs/{program}/content,registered,Content Manager; Coach / Reviewer,"Content Manager|Coach / Reviewer",FLOW-IAS-02|FLOW-IAS-04|FLOW-IAS-05,Program Module Activity and version domains,reference-ready,BLK-01|BLK-07|BLK-08
INS-PUBLISH,Publish/version panel,admin.authorityclosers.com,/admin/programs/{program}/content,registered,Content Manager; Business Administrator,"Content Manager|Business Administrator",FLOW-IAS-02,ProgramVersion and AuditEvent,reference-ready,BLK-01|BLK-07
ADM-PROGRESS,Progress/support diagnostics,admin.authorityclosers.com,/admin/progress,explicit_candidate,Business Administrator; Support Agent; Technical Administrator,"Business Administrator|Support Agent|Technical Administrator",FLOW-IAS-03|FLOW-IAS-06,canonical enrollment progress evidence and job state,reference-ready,BLK-09|BLK-12
ADM-AUDIT,Audit and compliance,admin.authorityclosers.com,/admin/audit,explicit_candidate,Auditor; Technical Administrator; Platform Owner,"Auditor|Technical Administrator|Platform Owner",FLOW-IAS-06,AuditEvent and restricted audit read model,reference-ready,BLK-09|BLK-12
ADM-ASSESS-REVIEW,Assessment review queue,admin.authorityclosers.com,BLOCKED_ROUTE:assessment-review,blocked_not_registered,Coach / Reviewer,"Coach / Reviewer",FLOW-IAS-04,Attempt Evidence RubricVersion Score and CoachApproval,blocked,BLK-07|BLK-09
ADM-MEDIA,Media operations,admin.authorityclosers.com,BLOCKED_ROUTE:media,blocked_not_registered,Content Manager; Technical Administrator,"Content Manager|Technical Administrator",FLOW-IAS-05,MediaAsset MediaVersion provider lifecycle,blocked,BLK-08|BLK-09
ADM-HEALTH,System health,admin.authorityclosers.com,BLOCKED_ROUTE:health,blocked_not_registered,Technical Administrator,"Technical Administrator",FLOW-IAS-06,job/provider/read-model health,blocked,BLK-09
ADM-SUPPORT-VIEWAS,Scoped support view-as,admin.authorityclosers.com,BLOCKED_ROUTE:support-view-as,blocked_not_registered,Support Agent; Technical Administrator,"Support Agent|Technical Administrator",FLOW-IAS-03|FLOW-IAS-06,session/audit/support reference,blocked,BLK-09|BLK-12
