state_id,surface,route,layer,trigger,visible_contract,primary_action,secondary_action,canonical_data,recovery,accessibility,privacy_boundary,telemetry
ONB-TAX-001,onboarding,/onboarding,presentation,authenticated profile read returns no taxonomy values,"Show optional profile questions with no inferred defaults; show India only when the configured country allowlist is explicitly selected",Continue,Skip setup,"No mutation",Return to home or remain on form,"Heading; fieldset/legend; labels; keyboard focus; 44px target intent","No country/IP/provider inference; fields are optional",onboarding_viewed_no_values
ONB-TAX-002,onboarding,/onboarding,presentation,authenticated profile read returns saved taxonomy values,"Show canonical values and an explicit edit affordance; do not show a recommendation or score",Edit profile,Back to home,"Server snapshot and revision",Reload latest profile if stale,"Programmatic value/name; focus returns to edit control","No raw values in telemetry",onboarding_viewed_prefilled
ONB-TAX-003,onboarding,/onboarding,local_edit,user changes a field,"Show dirty state and exact current input; contact fields remain optional and independent",Save profile,Skip setup,"No canonical write until explicit save",Keep in-memory input; offer user-initiated copy/download per local draft contract,"Input purpose; autocomplete/inputmode; errors associated with field","No provider lookup or WhatsApp claim",onboarding_profile_edited
ONB-TAX-004,onboarding,/onboarding,processing,explicit save submitted,"Disable duplicate save; announce saving without claiming success",Wait,Cancel only if safe,"PUT /v1/onboarding with revision/idempotency",Retry same command after timeout,"Live status; focus remains stable; no auto-navigation","No raw phone/education values in logs or analytics",onboarding_profile_save_started
ONB-TAX-005,onboarding,/onboarding,success,canonical save accepted,"Show saved status, revision, and next action; confirm this did not change access",Continue to home,Edit again,"Server canonical snapshot; local recovery removed after successful cleanup",Retry local cleanup if cleanup cannot be verified,"Status text and icon, not colour only; focus to status/action","Deletion/retention follows security policy; no channel opt-in implied",onboarding_profile_save_succeeded
ONB-TAX-006,onboarding,/onboarding,success,learner chooses skip,"Explain that no profile taxonomy was saved and can be added later",Continue to home,Resume setup,"Status=skipped; no field values required",Open setup later from settings,"Announce skip result; preserve route intent","Skip does not affect authorization, access, or score",onboarding_profile_skipped
ONB-TAX-007,onboarding,/onboarding,offline,network unavailable during edit,"Show offline state and preserved in-memory input; no synced/saved claim",Reconnect and retry,Back,"No canonical write; browser-local recovery only if allowed by local-draft policy",Copy/download a user-requested recovery copy; retry online,"Non-colour offline status; no auto-submit","Auto-recovery must purge per seven-day/sign-out policy; contact fields are not auto-persisted until separately approved",onboarding_profile_offline
ONB-TAX-008,onboarding,/onboarding,retryable_error,timeout or transient API failure,"Name the failed save, preserve input, and provide trace-safe retry",Retry save,Back,"No success claim; canonical revision unchanged",Retry same idempotency intent or use recovery copy,"Alert associated with fields/actions; focus to error","Do not expose provider/database details or raw values",onboarding_profile_save_failed
ONB-TAX-009,onboarding,/onboarding,conflict,If-Match revision mismatch,"Explain that a newer profile exists; show reload path without overwriting either copy",Reload latest profile,Keep local in editor,"Canonical server state wins until explicit user choice",Compare server and local; resubmit against latest revision,"Focus to conflict summary; both choices keyboard reachable","No cross-person/tenant existence disclosure",onboarding_profile_conflict
ONB-TAX-010,onboarding,/onboarding,validation,invalid canonical value or missing conditional other text,"Associate a plain-language error with the exact field; do not coerce silently",Correct fields,Skip setup,"No canonical write",Keep safe input in editor; retry after correction,"Inline error plus summary; screen-reader association; visible focus","Do not echo full phone values in error telemetry",onboarding_profile_validation_failed
ONB-TAX-011,onboarding,/onboarding,session_expired,authenticated read/write returns 401,"Explain session expiry and reassure that unsaved work is not falsely marked saved",Sign in again,Copy/download recovery copy,"No canonical write after expiry",Resume intended onboarding route after re-authentication,"Focus to recovery action; no lost-route loop","Local recovery is device-scoped and purged under sign-out policy",onboarding_profile_session_expired
ONB-TAX-012,onboarding,/onboarding,partial,taxonomy reference artifact unavailable at build/runtime,"Keep free-text degree/specialization and skip paths available; do not show a false complete list",Save available fields,Skip setup,"Only submitted fields are canonical",Support/release owner repairs source artifact; end user is not asked to fetch official files","Fallback controls retain labels and keyboard order","No end-user source fetch or external data transfer",onboarding_taxonomy_reference_unavailable
SET-TAX-001,settings,/settings,presentation,authenticated settings read succeeds,"Show profile summary and separate phone/WhatsApp rows; show no verification or channel status",Edit learning profile,Sign out,"Read-only projection from /v1/me and /v1/onboarding",Open /onboarding?return=settings,"Heading hierarchy; row labels; focus return after edit","Settings must not turn a number into messaging consent",settings_profile_summary_viewed
SET-TAX-002,settings,/settings,loading,settings reads pending,"Show structural skeleton without false empty values",Wait,Back,"No mutation",Retry request,"Announce loading where needed; no focus trap","No values exposed before authorization",settings_profile_loading
SET-TAX-003,settings,/settings,retryable_error,settings read fails,"Name the failed read and preserve route; do not render stale sensitive contact values as current",Retry settings,Back to home,"No mutation",Retry or sign in again if unauthorized,"Alert and retry are keyboard reachable","No account existence/provider details in error",settings_profile_read_failed
ROUTE-TAX-001,routing,/login -> /onboarding,authorization,unauthenticated deep link,"Authenticate first and return only to allowlisted onboarding intent",Sign in,Register,"No profile read before authorization",Return to safe onboarding route after auth,"Safe return route; no open redirect","No profile data in query parameters",onboarding_auth_redirect
