"transition_id","flow_id","journey_id","stage_id","screen_id","route","actor","state","trigger","visible_structure","primary_action","secondary_action","system_response","preserved_input","error_or_status","recovery","analytics_event","accessibility_requirement","source_of_truth","qa_status","data_captured","privacy_boundary","owner","next_screen_id"
"TR-AUTH-001","FLOW-AUTH","JRN-01","STG-AUTH-01","AUTH-01","/login","anonymous","ready","open login","AuthShell; email; password; Google; recovery links","Sign in","Continue with Google","await explicit credential/provider action","safe intended route","ready","register or recover","login_viewed","labels; autocomplete; visible focus","V0_1_ROUTE_SCREEN_CONTRACTS; AUTH-01 Drive family","spec_ready","none","public; no account existence disclosure","identity","AUTH-01"
"TR-AUTH-002","FLOW-AUTH","JRN-01","STG-AUTH-01","AUTH-01","/login","anonymous","processing","submit credentials","disabled duplicate submit; named status","Wait","Cancel only if safe","verify credentials and issue host-only session on success","email; intended route; never password after navigation","signing_in","bounded retry","login_attempted","status announced without focus theft","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","email credential request","secret transport; never analytics/logs","identity","ONB-01"
"TR-AUTH-003","FLOW-AUTH","JRN-02","STG-REC-01","AUTH-01","/login","anonymous","validation_error","credentials rejected","inline neutral error; form retained","Try again","Forgot password","return one existence-neutral rejection","email only","invalid_credentials","re-enter or recover","login_failed_category","error associated with form","Security; V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","no account enumeration","identity","AUTH-01"
"TR-AUTH-004","FLOW-AUTH","JRN-02","STG-REC-01","AUTH-01","/login","unverified person","locked","eligible account requires verification","verification-required panel","Resend verification","Change email","enqueue only when eligible; neutral response","email","verification_required","AUTH-03 pending state","verification_required","focus panel; non-color status","V0_1_TRANSACTIONAL_EMAIL_CONTRACT","spec_ready","verification resend intent","existence neutral","identity/email worker","AUTH-03"
"TR-AUTH-005","FLOW-AUTH","JRN-02","STG-REC-03","AUTH-01","/login","anonymous","retryable_error","Google provider unavailable","provider error panel","Try Google again","Use email","rollback transaction; retain safe entry state","email if entered","provider_unavailable","bounded retry or password","provider_failure_category","error announced; alternate action reachable","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","no provider payload","identity provider","AUTH-01"
"TR-AUTH-006","FLOW-AUTH","JRN-01","STG-AUTH-02","AUTH-02","/register","anonymous","ready","open registration","AuthShell; email; new password; consent; Google registration","Create account","Sign in","wait for exact consent and submit","email; consent unchecked","ready","correct fields","registration_started","labels; new-password autocomplete; legal links","V0_1_ROUTE_SCREEN_CONTRACTS; AUTH-01 Drive","spec_ready","none","public","identity","AUTH-02"
"TR-AUTH-007","FLOW-AUTH","JRN-01","STG-AUTH-02","AUTH-02","/register","anonymous","validation_error","missing or invalid field/consent","field errors plus summary","Correct highlighted fields","Sign in","no account/challenge mutation","all valid fields except password after unsafe navigation","consent_or_field_invalid","correct and resubmit","registration_validation_failed","programmatic association; focus first error","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","no secrets in telemetry","identity","AUTH-02"
"TR-AUTH-008","FLOW-AUTH","JRN-01","STG-AUTH-02","AUTH-02","/register","anonymous","processing","submit valid registration","named creating-account status","Wait","none","create person credential consent challenge and outbox atomically when eligible","email; consent version","creating_account","retry only after bounded result","registration_submitted","announce processing; prevent duplicate activation","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","email; password verifier; exact consent","password and challenge protected","identity/email worker","AUTH-03"
"TR-AUTH-009","FLOW-AUTH","JRN-01","STG-AUTH-03","AUTH-03","/verify-email","unverified person","success","registration acknowledged","verification pending message; resend action","Open email app","Resend","return same acknowledgement for new or existing address","email masked or omitted","verification_pending","resend after bounded interval","registration_created","status heading and next step","V0_1_TRANSACTIONAL_EMAIL_CONTRACT","spec_ready","verification intent","existence neutral","identity/email worker","AUTH-03"
"TR-AUTH-010","FLOW-AUTH","JRN-01","STG-AUTH-03","AUTH-03","/verify-email","unverified person","processing","verification fragment consumed","verifying status","Wait","Request another link","validate and consume token; invalidate siblings","none","verifying","resend on rejected result","verification_attempted","live status; token never rendered","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","challenge token in request body","token excluded from URL/log/analytics","identity","AUTH-03"
"TR-AUTH-011","FLOW-AUTH","JRN-01","STG-AUTH-03","AUTH-03","/verify-email","verified learner","success","verification accepted","account-ready confirmation","Continue","Sign out","mark verified and issue host-only session","safe intended route","verified","continue to onboarding","registration_verified","focus confirmation heading","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","verification fact","self-scoped identity","identity","ONB-01"
"TR-AUTH-012","FLOW-AUTH","JRN-02","STG-REC-01","AUTH-03","/verify-email","unverified/anonymous","terminal_error","link missing expired or consumed","link-invalid explanation","Request another link","Return to login","do not reveal account existence","none","link_invalid","existence-neutral resend","verification_link_rejected","clear instructions; no token text","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","no challenge disclosure","identity/email worker","AUTH-03"
"TR-AUTH-013","FLOW-AUTH","JRN-02","STG-REC-02","AUTH-04","/forgot-password","anonymous","ready","open recovery","email field; neutral explanation","Send reset link","Back to sign in","wait for request","email","ready","submit or return","password_recovery_started","email label and autocomplete","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","public","identity","AUTH-04"
"TR-AUTH-014","FLOW-AUTH","JRN-02","STG-REC-02","AUTH-04","/forgot-password","anonymous","success","submit recovery","same acknowledgement for every address","Return to sign in","Send again after interval","enqueue only for eligible identity","none","request_accepted","check inbox or retry later","password_recovery_requested","status announced","V0_1_TRANSACTIONAL_EMAIL_CONTRACT","spec_ready","recovery intent","existence neutral","identity/email worker","AUTH-05"
"TR-AUTH-015","FLOW-AUTH","JRN-02","STG-REC-02","AUTH-05","/reset-password","anonymous","ready","valid reset fragment present","new password; confirm password","Reset password","Request another link","wait for matching valid input","none","ready","correct fields","password_reset_viewed","new-password autocomplete; paste allowed","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","challenge stays out of query/log","identity","AUTH-05"
"TR-AUTH-016","FLOW-AUTH","JRN-02","STG-REC-02","AUTH-05","/reset-password","anonymous","success","reset accepted","reset confirmation; session revocation notice","Sign in","none","replace verifier; consume token; revoke sessions","none","password_reset","fresh login required","password_reset_completed","confirmation heading receives focus","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","new password verifier","secret transport only","identity","AUTH-01"
"TR-AUTH-017","FLOW-AUTH","JRN-02","STG-REC-02","AUTH-05","/reset-password","anonymous","terminal_error","reset link missing expired or consumed","invalid-link panel","Request another link","Back to sign in","no password mutation","none","link_invalid","restart recovery","password_reset_link_rejected","clear support/restart path","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","no token/provider detail","identity","AUTH-04"
"TR-AUTH-018","FLOW-AUTH","JRN-02","STG-REC-03","AUTH-06","/auth/callback","person","locked","missing or non-current consent recovery result","Review and continue panel","Review consent","Use email sign in","no provider exchange or duplicate identity","safe return path","consent_required","restart approved registration transaction","google_recovery_result","no provider payload; keyboard action","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","allowlisted result only","identity provider","AUTH-02"
"TR-AUTH-019","FLOW-AUTH","JRN-02","STG-REC-03","AUTH-06","/auth/callback","person","retryable_error","provider rejection or outage recovery result","safe provider result panel","Try again","Use email sign in","rollback and clear OAuth transaction","none","provider_unavailable_or_rejected","restart start route","provider_failure_category","status and alternatives announced","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","no OAuth code/provider payload","identity provider","AUTH-01"
"TR-AUTH-020","FLOW-AUTH","JRN-02","STG-REC-04","AUTH-07","/session-expired","learner/admin","unauthorized_or_expired","protected request returns canonical 401","expired-session panel; durable-work statement","Sign in again","Go to public course","revoke/ignore expired session; keep allowlisted return","server-saved work; browser-only input explicitly uncertain","session_expired","reauthenticate then resolve conflict if needed","session_expired","focus heading; no timed redirect","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","safe intended route","no cookie/token rendered","identity","AUTH-01"
"TR-ONB-001","FLOW-ONB","JRN-01","STG-ONB-01","ONB-01","/onboarding","verified learner","loading","open onboarding","three-step structure skeleton","Wait","Sign out","load self profile and revision","none","loading_profile","retry or session recovery","onboarding_viewed","polite status; skeleton mirrors form","V0_1_ROUTE_SCREEN_CONTRACTS; current implementation contract","spec_ready","none","self-scoped","person profile","ONB-01"
"TR-ONB-002","FLOW-ONB","JRN-01","STG-ONB-01","ONB-01","/onboarding","verified learner","ready","profile step 1 loaded","context choice cards; step 1 of 3","Save and continue","Skip for now","validate choice then revisioned save","selected context","in_progress","correct selection or skip","onboarding_step_viewed","fieldset/legend; aria-pressed; focus","Current onboarding API/UI contract","spec_ready","experience_context","self profile; no role inference","person profile","ONB-01"
"TR-ONB-003","FLOW-ONB","JRN-01","STG-ONB-01","ONB-01","/onboarding","verified learner","ready","advance to step 2","learning-goal field; step 2 of 3","Save and continue","Back","validate max 240 and revisioned save","context; goal draft","in_progress","correct or return","onboarding_step_viewed","label; character/error association","Current onboarding API/UI contract","spec_ready","learning_goal","self profile; text excluded from analytics","person profile","ONB-01"
"TR-ONB-004","FLOW-ONB","JRN-01","STG-ONB-01","ONB-01","/onboarding","verified learner","ready","advance to step 3","situation; weekly minutes; step 3 of 3","Finish profile","Back","validate optional fields and save completed","all draft fields","in_progress","correct or return","onboarding_step_viewed","textarea label; numeric input mode","Current onboarding API/UI contract","spec_ready","practice_situation; weekly_minutes","self profile; text excluded from analytics","person profile","ONB-01"
"TR-ONB-005","FLOW-ONB","JRN-01","STG-ONB-01","ONB-01","/onboarding","verified learner","processing","save step skip or complete","saving status; controls disabled against duplicate","Wait","none","write only when If-Match revision is current","all local fields","saving","conflict/retry/session recovery","onboarding_save_started","live status; no focus theft","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","bounded profile snapshot","self-scoped","person profile","ONB-01"
"TR-ONB-006","FLOW-ONB","JRN-01","STG-ONB-01","ONB-01","/onboarding","verified learner","retryable_error","network or save failure","error plus preserved-input statement","Retry save","Back","no success claim; retain local draft","all local fields","save_failed","retry when online","onboarding_save_failed","alert associated with actions","AC-IMP-04; AC-UXA-01","spec_ready","none","local draft not analytics","person profile","ONB-01"
"TR-ONB-007","FLOW-ONB","JRN-01","STG-ONB-01","ONB-01","/onboarding","verified learner","conflict","revision precondition fails","changed-in-another-tab explanation","Reload latest","Review local values","do not overwrite newer canonical profile","local draft until learner choice","revision_conflict","reload and re-enter/merge manually","onboarding_conflict","focus conflict panel","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","none","self-scoped","person profile","ONB-01"
"TR-ONB-008","FLOW-ONB","JRN-05","STG-ONB-01","ONB-01","/onboarding","verified learner","offline_or_stale","network unavailable","offline status; form input retained","Reconnect and retry","Back","block canonical save","current browser draft only","offline_unsaved","reconnect; no queue claim","offline_state_entered","status non-color; no auto-submit","AC-IMP-04; AC-UXA-01","spec_ready","none","browser-local draft only","person profile","ONB-01"
"TR-ONB-009","FLOW-ONB","JRN-01","STG-ONB-01","ONB-01","/onboarding","verified learner","success","completed or skipped save returns","profile saved/skipped confirmation","Open published programs","Edit profile","return canonical next action without recommendation","canonical profile","completed_or_skipped","continue or edit","onboarding_completed_or_skipped","confirmation announced","V0_1_ROUTE_SCREEN_CONTRACTS","spec_ready","status and revision","self profile","person profile","COURSE-01"
